Time [s],Channel 0
6.831984680,1
6.832210280,0
6.832216920,1
6.832443000,0
6.832449680,1
6.832675720,0
6.832682360,1
6.833644440,0
6.834047160,1
6.834193400,0
6.834199520,1
6.834346600,0
6.834421560,1
6.837354960,0
6.839566760,1
6.839740440,0
6.839751680,1
6.839924040,0
6.839935240,1
6.840107600,0
6.840118800,1
6.840291200,0
6.840697240,1
6.840842600,0
6.840849560,1
6.840995760,0
6.841071440,1
6.844004040,0
7.068197040,1
7.068418360,0
7.068430560,1
7.068651080,0
7.068663160,1
7.068883800,0
7.068896040,1
7.069116600,0
7.069125080,1
7.069852640,0
7.070254560,1
7.073733560,0
7.074848400,1
7.075068000,0
7.075081560,1
7.075300760,0
7.075314160,1
7.075533480,0
7.075547040,1
7.075766200,0
7.075775360,1
7.075951560,0
7.075958520,1
7.076135120,0
7.076142040,1
7.076318680,0
7.076325600,1
7.076502240,0
7.076907120,1
7.077052000,0
7.077059440,1
7.077205160,0
7.077281280,1
7.080213320,0
7.080715600,1
7.081013480,0
7.081025280,1
7.081328240,0
7.081340000,1
7.081642960,0
7.081654800,1
7.081957720,0
7.081965400,1
7.083626960,0
7.084029040,1
7.084174920,0
7.084181400,1
7.084328080,0
7.084403400,1
7.087336400,0
7.088625480,1
7.088839520,0
7.088857000,1
7.089072280,0
7.089090160,1
7.089305000,0
7.089322520,1
7.089537760,0
7.089548320,1
7.089723080,0
7.089731400,1
7.089906640,0
7.089914960,1
7.090090240,0
7.090098560,1
7.090273800,0
7.090678640,1
7.090825480,0
7.090831080,1
7.090978640,0
7.091053160,1
7.093987040,0
7.318182560,1
7.318399640,0
7.318415400,1
7.318632320,0
7.318648120,1
7.318865080,0
7.318880760,1
7.319097840,0
7.319107800,1
7.319283080,0
7.319290840,1
7.319466680,0
7.319474440,1
7.319650280,0
7.319658040,1
7.319833880,0
7.320236360,1
7.323729680,0
7.324827200,1
7.325050440,0
7.325060960,1
7.325283160,0
7.325293720,1
7.325515920,0
7.325526480,1
7.325748640,0
7.325756240,1
7.326484680,0
7.326889400,1
7.327032640,0
7.327041640,1
7.327185840,0
7.327263200,1
7.330193920,0
7.330695560,1
7.330995600,0
7.331006000,1
7.331310320,0
7.331320760,1
7.331625080,0
7.331635560,1
7.331939840,0
7.331946840,1
7.333609040,0
7.334011280,1
7.334155600,0
7.334163560,1
7.334308800,0
7.334385320,1
7.337316920,0
7.338611840,1
7.338821040,0
7.338842920,1
7.339053880,0
7.339074280,1
7.339286600,0
7.339308360,1
7.339519320,0
7.339530720,1
7.339704640,0
7.339713680,1
7.339888200,0
7.339897320,1
7.340071800,0
7.340080880,1
7.340255360,0
7.340660880,1
7.340805960,0
7.340813200,1
7.340959160,0
7.341035080,1
7.343967440,0
7.568165800,1
7.568381280,0
7.568398040,1
7.568614040,0
7.568630760,1
7.568846760,0
7.568863640,1
7.569079520,0
7.569089880,1
7.569264800,0
7.569273000,1
7.569448400,0
7.569456520,1
7.569631960,0
7.569640080,1
7.569815520,0
7.570218160,1
7.573721760,0
7.574808200,1
7.575032480,0
7.575042040,1
7.575265200,0
7.575274840,1
7.575498000,0
7.575507560,1
7.575730680,0
7.575737720,1
7.576466760,0
7.576871440,1
7.577014080,0
7.577023640,1
7.577167240,0
7.577245080,1
7.580175240,0
7.580676560,1
7.580977600,0
7.580987280,1
7.581292360,0
7.581302080,1
7.581607120,0
7.581616800,1
7.581921840,0
7.581928480,1
7.583591080,0
7.583993400,1
7.584136760,0
7.584145640,1
7.584289920,0
7.584367200,1
7.587297920,0
7.588593800,1
7.588802880,0
7.588824520,1
7.589035600,0
7.589057200,1
7.589268360,0
7.589290000,1
7.589501080,0
7.589512480,1
7.589686440,0
7.589695480,1
7.589870000,0
7.589879040,1
7.590053600,0
7.590062640,1
7.590237200,0
7.590642960,1
7.590787200,0
7.590795240,1
7.590940400,0
7.591016960,1
7.593948560,0
7.818147800,1
7.818363080,0
7.818379720,1
7.818595840,0
7.818612640,1
7.818828600,0
7.818845320,1
